N,wavenumber_cm-1,frequency_THz,wavelength_vac_nm,strength
121,14852.0372,445.252874,673.30831,8
122,14852.1734,445.256957,673.30213,6
123,14852.7626,445.274621,673.27542,7
124,14852.9787,445.281099,673.26563,8
125,14853.1802,445.287140,673.25649,9
126,14853.3360,445.291811,673.24943,8
127,14853.3661,445.292713,673.24807,9
128,14853.7434,445.304024,673.23096,7
129,14853.8943,445.308548,673.22413,7
130,14854.4265,445.324503,673.20001,8
131,14854.8163,445.336189,673.18234,8
132,14854.9544,445.340329,673.17608,7
133,14855.3245,445.351425,673.15931,7
134,14855.6430,445.360973,673.14488,9
135,14855.9560,445.370357,673.13070,8
136,14857.2130,445.408040,673.07375,7
137,14857.4109,445.413973,673.06478,8
138,14857.7534,445.424241,673.04926,6
139,14858.0565,445.433328,673.03553,7
140,14859.1767,445.466911,672.98480,10
141,14860.4669,445.505590,672.92637,11
142,14861.3726,445.532742,672.88536,7
143,14862.6518,445.571092,672.82744,10
144,14863.9206,445.609129,672.77001,6
145,14864.3551,445.622155,672.75034,9
146,14866.0487,445.672928,672.67370,7
147,14866.6397,445.690646,672.64696,7
148,14867.3011,445.710474,672.61704,7
149,14867.7235,445.723137,672.59793,10
150,14867.9317,445.729379,672.58851,7
151,14868.9594,445.760189,672.54202,8
152,14869.3804,445.772810,672.52298,8
153,14870.6131,445.809765,672.46723,9
154,14872.2462,445.858724,672.39339,7
155,14872.6526,445.870908,672.37501,10
156,14873.8555,445.906970,672.32064,9
157,14874.2535,445.918902,672.30265,9
158,14875.8507,445.966785,672.23046,11
159,14876.4201,445.983855,672.20473,7
160,14877.0372,446.002355,672.17685,11
161,14877.4228,446.013915,672.15943,8
162,14878.5974,446.049129,672.10636,9
163,14878.9822,446.060665,672.08898,12
164,14880.1551,446.095827,672.03601,9
165,14880.5225,446.106842,672.01941,9
166,14880.8940,446.117979,672.00264,7
167,14881.6796,446.141531,671.96716,9
168,14882.0487,446.152596,671.95050,11
169,14883.1915,446.186856,671.89890,9
170,14883.5552,446.197760,671.88248,9
171,14885.0460,446.242453,671.81519,12
172,14886.1680,446.276089,671.76455,12
173,14886.5200,446.286642,671.74867,9
174,14887.6309,446.319946,671.69854,8
175,14887.9768,446.330316,671.68294,11
176,14889.0765,446.363284,671.63333,14
177,14889.4179,446.373519,671.61793,10
178,14890.5048,446.406103,671.56890,7
179,14890.8426,446.416230,671.55367,11
180,14891.9132,446.448326,671.50539,11
181,14892.2486,446.458381,671.49027,8
182,14893.3100,446.490201,671.44241,7
183,14893.6446,446.500232,671.42733,10
184,14894.6932,446.531669,671.38006,9
185,14895.0126,446.541244,671.36566,10
186,14896.0528,446.572428,671.31878,9
187,14896.3670,446.581848,671.30462,13
188,14897.4003,446.612825,671.25806,10
189,14897.7073,446.622029,671.24423,11
190,14898.7229,446.652476,671.19847,8
191,14899.0305,446.661698,671.18461,11
192,14899.4081,446.673018,671.16760,6
193,14900.0361,446.691845,671.13931,11
194,14900.1939,446.696575,671.13221,6
195,14900.3395,446.700940,671.12565,9
196,14900.8977,446.717675,671.10051,6
197,14901.3309,446.730662,671.08100,10
198,14901.6273,446.739548,671.06765,14
199,14902.6146,446.769146,671.02319,11
200,14902.9001,446.777705,671.01034,11
201,14903.8753,446.806941,670.96643,10
202,14904.1549,446.815323,670.95384,13
203,14904.7574,446.833386,670.92672,9
204,14905.1194,446.844238,670.91043,12
205,14905.3952,446.852506,670.89801,11
206,14906.2538,446.878247,670.85937,7
207,14906.3435,446.880936,670.85533,10
208,14906.6200,446.889225,670.84289,13
209,14907.5558,446.917280,670.80078,15
210,14907.8239,446.925317,670.78871,10
211,14908.7490,446.953051,670.74709,12
212,14909.0151,446.961028,670.73512,16
213,14909.9237,446.988267,670.69424,13
214,14910.1839,446.996068,670.68254,12
215,14910.5245,447.006279,670.66722,8
216,14911.0871,447.023145,670.64191,12
217,14911.3400,447.030727,670.63054,13
218,14912.2276,447.057337,670.59062,12
219,14912.4781,447.064846,670.57936,11
220,14912.6997,447.071490,670.56939,7
221,14913.3553,447.091144,670.53992,10
222,14913.6004,447.098492,670.52890,12
223,14914.4658,447.124436,670.48999,13
224,14914.7091,447.131730,670.47905,13
225,14915.5606,447.157257,670.44077,12
226,14915.7956,447.164303,670.43021,13
227,14916.4215,447.183067,670.40208,7
228,14916.6389,447.189584,670.39231,15
229,14916.8661,447.196395,670.38210,11
230,14917.6961,447.221278,670.34480,12
231,14917.9232,447.228086,670.33459,13
232,14918.7424,447.252645,670.29779,13
233,14918.9626,447.259247,670.28789,14
234,14919.7652,447.283308,670.25183,9
235,14919.9834,447.289850,670.24203,15
236,14920.7724,447.313503,670.20659,11
237,14920.9901,447.320030,670.19681,13
238,14921.7685,447.343366,670.16185,11
239,14921.9795,447.349691,670.15237,14
240,14922.7446,447.372628,670.11802,11
241,14922.9503,447.378795,670.10878,13
242,14923.7029,447.401357,670.07499,13
243,14923.9077,447.407497,670.06579,16
244,14924.6497,447.429742,670.03248,15
245,14924.8451,447.435600,670.02370,13
246,14925.5725,447.457407,669.99105,14
247,14925.7688,447.463292,669.98224,16
248,14926.4843,447.484742,669.95012,14
249,14926.5904,447.487923,669.94536,7
250,14926.6704,447.490321,669.94177,13
251,14926.9802,447.499608,669.92787,7
252,14927.3769,447.511501,669.91006,12
253,14927.5603,447.516999,669.90183,15
254,14927.6213,447.518828,669.89910,7
255,14928.2535,447.537781,669.87073,16
256,14928.4324,447.543144,669.86270,13
257,14928.9083,447.557411,669.84134,7
258,14929.1089,447.563425,669.83234,13
259,14929.2900,447.568855,669.82422,14
260,14929.9551,447.588794,669.79438,15
261,14930.1243,447.593866,669.78679,12
262,14930.7811,447.613557,669.75732,15
263,14930.9484,447.618572,669.74982,15
264,14931.5144,447.635540,669.72443,10
265,14931.5879,447.637744,669.72114,14
266,14931.7522,447.642669,669.71377,11
267,14931.9915,447.649843,669.70303,7
268,14932.3825,447.661565,669.68550,13
269,14932.5406,447.666305,669.67841,15
270,14932.6920,447.670844,669.67162,9
271,14933.1560,447.684754,669.65081,19
272,14933.3118,447.689425,669.64382,13
273,14933.9152,447.707515,669.61677,14
274,14934.0363,447.711145,669.61134,10
275,14934.0673,447.712074,669.60995,14
276,14934.6610,447.729873,669.58333,17
277,14934.8049,447.734187,669.57688,16
278,14935.3818,447.751482,669.55101,14
279,14935.5317,447.755976,669.54429,15
280,14936.0960,447.772893,669.51900,16
281,14936.2353,447.777069,669.51275,14
282,14936.2840,447.778529,669.51057,9
283,14936.7830,447.793489,669.48820,16
284,14936.9219,447.797653,669.48198,16
285,14937.1265,447.803787,669.47281,10
286,14937.4619,447.813842,669.45777,16
287,14937.5982,447.817928,669.45167,13
288,14937.8918,447.826730,669.43851,8
289,14938.1214,447.833613,669.42822,15
290,14938.2494,447.837451,669.42248,19
291,14938.7623,447.852827,669.39950,18
292,14938.8856,447.856523,669.39397,14
293,14939.3876,447.871573,669.37148,14
294,14939.5093,447.875221,669.36603,15
295,14939.9973,447.889851,669.34416,15
296,14940.1164,447.893422,669.33883,12
297,14940.5918,447.907674,669.31753,14
298,14940.7026,447.910996,669.31257,14
299,14941.1680,447.924948,669.29172,17
300,14941.2738,447.928120,669.28698,11
301,14941.6456,447.939266,669.27032,10
302,14941.7236,447.941604,669.26683,12
303,14941.8319,447.944851,669.26198,14
304,14942.2685,447.957940,669.24242,16
305,14942.3712,447.961019,669.23782,12
306,14942.7936,447.973682,669.21891,14
307,14942.8916,447.976620,669.21452,15
308,14943.3055,447.989029,669.19598,16
309,14943.4013,447.991901,669.19169,11
310,14943.7924,448.003626,669.17418,13
311,14943.8856,448.006420,669.17000,14
312,14944.0173,448.010368,669.16411,8
313,14944.2691,448.017917,669.15283,16
314,14944.3606,448.020660,669.14874,9
315,14944.7266,448.031632,669.13235,11
316,14944.8146,448.034270,669.12841,12
317,14945.1696,448.044913,669.11251,13
318,14945.2541,448.047446,669.10873,10
319,14945.5945,448.057651,669.09349,14
320,14945.6778,448.060148,669.08976,10
321,14945.7874,448.063434,669.08486,9
322,14946.0080,448.070048,669.07498,13
323,14946.0810,448.072236,669.07171,9
324,14946.3945,448.081635,669.05768,11
325,14946.4669,448.083805,669.05444,11
326,14946.7715,448.092937,669.04080,13
327,14946.8434,448.095092,669.03758,11
328,14947.1298,448.103678,669.02476,12
329,14947.2077,448.106014,669.02128,9
330,14947.4733,448.113976,669.00939,12
331,14947.5345,448.115811,669.00665,8
332,14947.8010,448.123800,668.99472,9
333,14947.8633,448.125668,668.99194,7
334,14948.1125,448.133139,668.98078,10
335,14948.1694,448.134845,668.97824,8
336,14948.2674,448.137783,668.97385,8
337,14948.4566,448.143455,668.96538,11
338,14948.6769,448.150059,668.95552,9
339,14948.7429,448.152038,668.95257,12
340,14948.9852,448.159302,668.94173,8
341,14949.1814,448.165184,668.93295,10
342,14949.4060,448.171917,668.92290,9
343,14949.6133,448.178132,668.91362,11
344,14949.8603,448.185537,668.90257,8
345,14950.2936,448.198527,668.88319,14
346,14950.4175,448.202241,668.87764,7
347,14950.6197,448.208303,668.86860,11
348,14950.7616,448.212557,668.86225,10
349,14950.8171,448.214221,668.85976,8
350,14952.2480,448.257118,668.79576,7
351,14952.3264,448.259468,668.79225,6
352,14952.7764,448.272959,668.77212,7
353,14954.0117,448.309992,668.71688,7
354,14954.7540,448.332246,668.68368,8
355,14955.6728,448.359791,668.64260,9
356,14956.7238,448.391299,668.59562,9
357,14956.8273,448.394402,668.59099,6
358,14957.3271,448.409386,668.56865,8
359,14958.0825,448.432032,668.53489,6
360,14958.6681,448.449588,668.50872,12
361,14959.7399,448.481720,668.46082,10
362,14960.5828,448.506989,668.42316,12
363,14961.6717,448.539633,668.37451,8
364,14961.8990,448.546448,668.36436,8
365,14962.1775,448.554797,668.35192,8
366,14962.5353,448.565524,668.33593,8
367,14963.4880,448.594085,668.29338,9
368,14963.7542,448.602065,668.28149,8
369,14964.0133,448.609833,668.26992,9
370,14964.4134,448.621828,668.25205,10
371,14965.0596,448.641200,668.22320,8
372,14965.3313,448.649346,668.21107,7
373,14965.4639,448.653321,668.20515,11
374,14966.2897,448.678078,668.16828,10
375,14967.3411,448.709598,668.12134,9
376,14968.0441,448.730673,668.08996,6
377,14968.1523,448.733917,668.08513,16
378,14968.6317,448.748289,668.06373,7
379,14969.1951,448.765179,668.03859,11
380,14969.6761,448.779599,668.01713,9
381,14969.9332,448.787307,668.00565,8
382,14969.9954,448.789172,668.00288,12
383,14971.1803,448.824694,667.95001,9
384,14971.4296,448.832168,667.93889,10
385,14971.8244,448.844004,667.92127,11
386,14971.9301,448.847173,667.91656,8
387,14972.4162,448.861745,667.89487,7
388,14972.8566,448.874948,667.87523,10
389,14972.9092,448.876525,667.87288,11
390,14973.6336,448.898242,667.84057,9
391,14974.1403,448.913433,667.81797,9
392,14974.3828,448.920703,667.80716,11
393,14975.4287,448.952058,667.76052,11
394,14975.5931,448.956987,667.75319,8
395,14975.7227,448.960872,667.74741,6
396,14975.8373,448.964307,667.74230,10
397,14977.0289,449.000031,667.68917,11
398,14977.2031,449.005253,667.68140,9
399,14977.2650,449.007109,667.67864,8
400,14978.2080,449.035379,667.63661,8
401,14978.4568,449.042838,667.62552,8
402,14978.6828,449.049613,667.61545,10
403,14978.9620,449.057984,667.60300,12
404,14979.8561,449.084788,667.56316,7
405,14979.9613,449.087942,667.55847,9
406,14980.7014,449.110130,667.52549,8
407,14981.2400,449.126276,667.50149,8
408,14981.4685,449.133127,667.49131,8
409,14981.6938,449.139881,667.48127,9
410,14982.4326,449.162030,667.44836,11
411,14982.6205,449.167663,667.43998,9
412,14983.4168,449.191535,667.40451,10
413,14984.1368,449.213120,667.37244,9
414,14984.1843,449.214544,667.37033,9
415,14985.1093,449.242275,667.32913,9
416,14985.3145,449.248427,667.32000,7
417,14985.5206,449.254606,667.31082,8
418,14985.8275,449.263806,667.29715,9
419,14986.6296,449.287852,667.26144,8
420,14986.7965,449.292856,667.25401,11
421,14986.8325,449.293935,667.25240,8
422,14987.4998,449.313940,667.22269,8
423,14987.9346,449.326975,667.20334,9
424,14988.1331,449.332926,667.19450,9
425,14988.4586,449.342685,667.18001,7
426,14989.1558,449.363586,667.14898,13
427,14989.4192,449.371483,667.13726,9
428,14990.1098,449.392186,667.10652,11
429,14990.4923,449.403653,667.08950,8
430,14990.6876,449.409508,667.08081,7
431,14990.7926,449.412656,667.07614,10
432,14991.7399,449.441055,667.03398,13
433,14991.9398,449.447048,667.02509,9
434,14992.4145,449.461279,667.00397,12
435,14992.9817,449.478284,666.97874,10
436,14993.1702,449.483935,666.97035,9
437,14993.3483,449.489274,666.96243,11
438,14994.0176,449.509339,666.93266,12
439,14994.1992,449.514783,666.92458,7
440,14994.3838,449.520318,666.91637,11
1,15000.0609,449.690513,666.66396,10
2,15000.2650,449.696632,666.65489,10
3,15001.1651,449.723616,666.61489,14
4,15001.3389,449.728826,666.60717,10
5,15001.7849,449.742197,666.58735,12
6,15002.4386,449.761794,666.55830,9
7,15002.6739,449.768849,666.54785,10
8,15003.2856,449.787187,666.52067,12
9,15004.1633,449.813500,666.48168,10
10,15004.7710,449.831718,666.45469,14
11,15005.6424,449.857842,666.41599,19
12,15006.2365,449.875653,666.38960,11
13,15006.5299,449.884448,666.37658,12
14,15006.6709,449.888676,666.37031,9
15,15007.1015,449.901585,666.35119,10
16,15007.6905,449.919242,666.32504,24
17,15008.5474,449.944932,666.28700,20
18,15009.1206,449.962116,666.26155,14
19,15009.5400,449.974689,666.24294,10
20,15009.6776,449.978814,666.23683,12
21,15009.9639,449.987397,666.22412,13
22,15010.5301,450.004371,666.19899,16
23,15011.3750,450.029701,666.16149,15
24,15011.5985,450.036401,666.15158,11
25,15011.9349,450.046486,666.13665,13
26,15012.4022,450.060496,666.11591,12
27,15012.7649,450.071369,666.09982,13
28,15013.3173,450.087930,666.07531,21
29,15013.4477,450.091839,666.06953,10
30,15014.1391,450.112567,666.03885,14
31,15014.2271,450.115205,666.03495,11
32,15014.6819,450.128839,666.01478,13
33,15015.2351,450.145424,665.99024,11
34,15015.4910,450.153095,665.97889,11
35,15015.9859,450.167932,665.95694,10
36,15016.0311,450.169287,665.95493,15
37,15016.8344,450.193370,665.91931,21
38,15017.3592,450.209103,665.89604,13
39,15017.6772,450.218636,665.88194,11
40,15018.1528,450.232894,665.86085,11
41,15018.6745,450.248534,665.83772,15
42,15019.3039,450.267403,665.80982,10
43,15019.4528,450.271867,665.80322,14
44,15019.9686,450.287331,665.78035,14
45,15020.1913,450.294007,665.77048,12
46,15020.7453,450.310615,665.74593,14
47,15020.8609,450.314081,665.74080,10
48,15020.9595,450.317037,665.73643,9
49,15021.2522,450.325812,665.72346,17
50,15021.6141,450.336661,665.70742,10
51,15021.7154,450.339698,665.70293,10
52,15022.0165,450.348725,665.68959,15
53,15022.3544,450.358855,665.67462,12
54,15022.4488,450.361685,665.67043,9
55,15022.5106,450.363538,665.66769,13
56,15023.0768,450.380512,665.64261,9
57,15023.1665,450.383201,665.63863,11
58,15023.2672,450.386220,665.63417,12
59,15023.7595,450.400979,665.61236,17
60,15024.5064,450.423370,665.57927,17
61,15024.9856,450.437736,665.55804,13
62,15025.1409,450.442392,665.55116,11
63,15025.7229,450.459840,665.52538,14
64,15025.7948,450.461996,665.52220,10
65,15025.8793,450.464529,665.51846,11
66,15026.1946,450.473981,665.50449,17
67,15026.4334,450.481140,665.49392,10
68,15026.9254,450.495890,665.47213,18
69,15027.3919,450.509876,665.45147,16
70,15028.1085,450.531359,665.41974,13
71,15028.3192,450.537675,665.41041,12
72,15028.5675,450.545119,665.39941,17
73,15028.8269,450.552896,665.38793,13
74,15029.2789,450.566446,665.36792,17
75,15029.7270,450.579880,665.34808,16
76,15030.4300,450.600955,665.31696,18
77,15030.8687,450.614107,665.29754,20
78,15030.9441,450.616368,665.29420,10
79,15031.5631,450.634925,665.26681,19
80,15031.9938,450.647837,665.24775,16
81,15032.3711,450.659148,665.23105,12
82,15032.6784,450.668361,665.21745,14
83,15033.1048,450.681144,665.19858,19
84,15033.2785,450.686351,665.19090,12
85,15033.6326,450.696967,665.17523,12
86,15033.7754,450.701248,665.16891,20
87,15034.1945,450.713812,665.15037,14
88,15034.8591,450.733737,665.12097,16
89,15035.2710,450.746085,665.10274,19
90,15035.7176,450.759474,665.08299,13
91,15035.9258,450.765715,665.07378,19
92,15036.2876,450.776562,665.05778,13
93,15036.3265,450.777728,665.05606,18
94,15036.7992,450.791899,665.03515,12
95,15036.9717,450.797071,665.02752,18
96,15037.3686,450.808969,665.00997,20
97,15038.0048,450.828042,664.98183,23
98,15038.3912,450.839626,664.96475,17
99,15039.0160,450.858357,664.93712,16
100,15039.3986,450.869827,664.92020,18
101,15040.0132,450.888253,664.89303,19
102,15040.3884,450.899501,664.87645,16
103,15040.9904,450.917548,664.84984,17
104,15041.3589,450.928596,664.83355,19
105,15041.9580,450.946556,664.80707,22
106,15042.3144,450.957241,664.79132,16
107,15042.4992,450.962781,664.78315,11
108,15042.9014,450.974839,664.76538,16
109,15043.2554,450.985451,664.74973,22
110,15043.8336,451.002785,664.72418,21
111,15044.1747,451.013011,664.70911,16
112,15044.7431,451.030051,664.68400,16
113,15045.0801,451.040154,664.66911,18
114,15045.6373,451.056859,664.64449,18
115,15045.9663,451.066722,664.62996,15
116,15046.5134,451.083124,664.60579,18
117,15046.8377,451.092846,664.59147,20
118,15047.3737,451.108915,664.56780,20
119,15047.6902,451.118403,664.55382,14
120,15048.2184,451.134238,664.53049,17
121,15048.5303,451.143589,664.51672,18
122,15049.0446,451.159007,664.49401,17
123,15049.3463,451.168052,664.48069,15
124,15049.8536,451.183260,664.45829,14
125,15050.1481,451.192089,664.44529,20
126,15050.6456,451.207004,664.42333,19
127,15050.9388,451.215794,664.41038,18
128,15051.4205,451.230235,664.38912,16
129,15051.7052,451.238770,664.37655,18
130,15052.1850,451.253154,664.35537,21
131,15052.4579,451.261335,664.34333,14
132,15052.9203,451.275198,664.32292,15
133,15053.1932,451.283379,664.31088,16
134,15053.6470,451.296984,664.29085,16
135,15053.9077,451.304799,664.27935,14
136,15054.3534,451.318161,664.25968,14
137,15054.6101,451.325857,664.24836,16
138,15055.0402,451.338751,664.22938,19
139,15055.2875,451.346165,664.21847,17
140,15055.7137,451.358942,664.19967,17
141,15055.9582,451.366272,664.18888,22
142,15056.3714,451.378659,664.17065,18
143,15056.6074,451.385734,664.16024,13
144,15057.0121,451.397867,664.14239,15
145,15057.2431,451.404792,664.13220,15
146,15057.6343,451.416520,664.11495,17
147,15057.8591,451.423259,664.10503,13
148,15058.2369,451.434585,664.08837,12
149,15058.4574,451.441196,664.07865,17
150,15058.8270,451.452276,664.06235,19
151,15059.0381,451.458605,664.05304,12
152,15059.3983,451.469403,664.03715,14
153,15059.6046,451.475588,664.02806,15
154,15059.9506,451.485961,664.01280,18
155,15060.1505,451.491954,664.00399,14
156,15060.4899,451.502129,663.98902,14
157,15060.6792,451.507804,663.98068,15
158,15060.7978,451.511359,663.97545,10
159,15061.0118,451.517775,663.96602,16
160,15061.1946,451.523255,663.95796,13
161,15061.4593,451.531190,663.94629,14
162,15061.5149,451.532857,663.94384,15
163,15061.6930,451.538197,663.93599,14
164,15062.0021,451.547463,663.92236,17
165,15062.1728,451.552581,663.91484,11
166,15062.4657,451.561362,663.90193,15
167,15062.6323,451.566356,663.89458,15
168,15062.9847,451.576921,663.87905,16
169,15063.2559,451.585051,663.86710,11
170,15063.3585,451.588127,663.86258,16
171,15063.5092,451.592645,663.85594,14
172,15063.7756,451.600631,663.84420,17
173,15064.1770,451.612665,663.82651,15
174,15064.3175,451.616877,663.82032,12
175,15064.5615,451.624192,663.80956,17
176,15064.9232,451.635036,663.79363,16
177,15065.0484,451.638789,663.78811,16
178,15065.2831,451.645825,663.77777,16
179,15065.4042,451.649456,663.77243,11
180,15065.6143,451.655754,663.76318,14
181,15065.9352,451.665375,663.74904,12
182,15066.1888,451.672977,663.73787,13
183,15066.5138,451.682721,663.72355,16
184,15067.0283,451.698145,663.70088,13
185,15067.2618,451.705145,663.69060,12
186,15067.3403,451.707498,663.68714,11
187,15067.4730,451.711477,663.68130,15
188,15067.8519,451.722836,663.66461,12
189,15067.9388,451.725441,663.66078,13
190,15068.5618,451.744118,663.63334,15
191,15070.9700,451.816314,663.52730,13
192,15072.0090,451.847463,663.48156,12
193,15073.1152,451.880626,663.43286,12
194,15073.7106,451.898475,663.40666,13
195,15075.3880,451.948762,663.33284,13
196,15076.8763,451.993380,663.26736,10
197,15077.0530,451.998678,663.25959,12
198,15078.7013,452.048093,663.18709,12
199,15078.8089,452.051318,663.18236,12
200,15079.7719,452.080188,663.14000,11
201,15080.3274,452.096842,663.11558,10
202,15081.3912,452.128734,663.06880,10
203,15081.4777,452.131327,663.06500,9
204,15081.9395,452.145171,663.04470,12
205,15082.6245,452.165707,663.01458,10
206,15082.9961,452.176847,662.99825,15
207,15083.3730,452.188147,662.98168,9
208,15083.5391,452.193126,662.97438,11
209,15084.5864,452.224523,662.92835,13
210,15085.1201,452.240523,662.90490,15
211,15086.1532,452.271495,662.85950,10
212,15086.3642,452.277821,662.85023,10
213,15086.6806,452.287306,662.83633,11
214,15087.1057,452.300050,662.81765,10
215,15088.2240,452.333576,662.76853,18
216,15089.2412,452.364071,662.72385,13
217,15089.7559,452.379501,662.70124,14
218,15090.0392,452.387994,662.68880,11
219,15090.7614,452.409645,662.65709,15
220,15091.2688,452.424857,662.63481,17
221,15091.8454,452.442143,662.60949,11
222,15092.2617,452.454623,662.59121,14
223,15092.7620,452.469622,662.56925,13
224,15093.6388,452.495908,662.53076,13
225,15093.7485,452.499196,662.52595,14
226,15094.2376,452.513859,662.50448,18
227,15095.2119,452.543068,662.46172,16
228,15095.4118,452.549061,662.45294,10
229,15095.6972,452.557617,662.44042,14
230,15096.6638,452.586595,662.39801,13
231,15097.1445,452.601006,662.37692,20
232,15097.8841,452.623178,662.34447,13
233,15098.0979,452.629588,662.33509,16
234,15098.5656,452.643609,662.31457,16
235,15098.9090,452.653904,662.29951,13
236,15099.5118,452.671976,662.27307,16
237,15099.9729,452.685799,662.25284,15
238,15100.6352,452.705654,662.22380,15
239,15100.9140,452.714013,662.21157,18
240,15101.3642,452.727509,662.19183,18
241,15102.2913,452.755303,662.15118,15
242,15102.7423,452.768824,662.13141,18
243,15103.6580,452.796276,662.09126,15
244,15104.0206,452.807146,662.07537,14
245,15104.0975,452.809452,662.07200,15
246,15104.7181,452.828057,662.04480,13
247,15105.0040,452.836628,662.03226,13
248,15105.4411,452.849732,662.01311,18
249,15105.6912,452.857229,662.00215,13
250,15106.3378,452.876614,661.97381,18
251,15106.3769,452.877786,661.97210,9
252,15106.7622,452.889337,661.95521,15
253,15107.3461,452.906842,661.92963,14
254,15107.6511,452.915986,661.91627,14
255,15108.0265,452.927240,661.89982,13
256,15108.0706,452.928562,661.89789,18
